"cod_master","produzido","frequencia","faixa"
"",164.91,1,sem_faixa
"0002",381.95,2,sem_faixa
"0049",954.40,5,sem_faixa
"0056",59010.54,221,faixa_2
"0063",15356.58,61,faixa_1
"0111",5701.50,18,sem_faixa
"0113",3152.30,7,sem_faixa
"0119",271.16,1,sem_faixa
"0120",144.06,1,sem_faixa
"0122",4378.38,17,sem_faixa
"0140",481.86,3,sem_faixa
"0145",2672.48,5,sem_faixa
"0152",743.69,2,sem_faixa
"0158",8814.82,29,sem_faixa
"0221",2910.87,13,sem_faixa
"0231",6499.36,28,sem_faixa
"0248",4751.75,19,sem_faixa
"0258",15985.49,40,faixa_1
"0307",178.49,1,sem_faixa
"0308",2290.06,1,sem_faixa
"0328",1366.89,5,sem_faixa
"0328.01",4309.99,15,sem_faixa
"0343",408.12,1,sem_faixa
"0353",10311.29,3,faixa_1
"0367",100.69,1,sem_faixa
"0374",236.08,1,sem_faixa
"0396",2441.38,2,sem_faixa
"0413",14711.43,55,faixa_1
"0434",451.46,4,sem_faixa
"0446",4149.72,15,sem_faixa
"0448",13430.79,63,faixa_1
"0451",6551.98,1,sem_faixa
"0452",198.88,1,sem_faixa
"0457",2451.73,16,sem_faixa
"0473",171.40,1,sem_faixa
"0480",8672.34,48,sem_faixa
"0488",936.91,8,sem_faixa
"0492",8073.06,15,sem_faixa
"0496",157.64,1,sem_faixa
"0520",1542.10,3,sem_faixa
"0522",634.89,2,sem_faixa
"0530",19919.97,91,faixa_1
"0545",5169.27,25,sem_faixa
"0547",470.53,3,sem_faixa
"0555",172.43,1,sem_faixa
"0562",213.29,1,sem_faixa
"0589",2254.14,4,sem_faixa
"0606",12505.55,46,faixa_1
"0613",228.23,1,sem_faixa
"0620",19365.49,79,faixa_1
"0653",106500.39,154,faixa_2
"0681",2032.90,5,sem_faixa
"0725",685.65,3,sem_faixa
"0726",1175.47,4,sem_faixa
"0731",1746.20,9,sem_faixa
"0750",1422.98,5,sem_faixa
"0760",1231.82,2,sem_faixa
"0762",383.66,1,sem_faixa
"0763",1059.11,4,sem_faixa
"0805",1518.99,11,sem_faixa
"0876",1208.92,8,sem_faixa
"0920",36176.26,106,faixa_2
"0924",10377.21,26,faixa_1
"0925",4757.74,23,sem_faixa
"0932",43844.79,202,faixa_2
"0940",1056.76,4,sem_faixa
"0943",10935.40,2,faixa_1
"0951",571.11,2,sem_faixa
"0967",9133.51,50,sem_faixa
"0984",72.68,1,sem_faixa
"0988",358.96,2,sem_faixa
"10000",1562.25,1,sem_faixa
"10002",36165.93,159,faixa_2
"10005",486.77,4,sem_faixa
"10016",850.46,5,sem_faixa
"10019",4594.51,28,sem_faixa
"10031",2441.02,10,sem_faixa
"10037",12297.70,107,faixa_1
"10045",4317.47,23,sem_faixa
"10046",23676.87,179,faixa_2
"10047",4247.85,5,sem_faixa
"10051",1417.69,8,sem_faixa
"10059",2976.52,18,sem_faixa
"10061",13790.29,83,faixa_1
"10073",34230.10,217,faixa_2
"10074",8395.40,35,sem_faixa
"10082",7692.74,34,sem_faixa
"10091",340.66,1,sem_faixa
"10099",3290.37,15,sem_faixa
"1010",2685.10,15,sem_faixa
"10103",9119.29,1,sem_faixa
"10104",11920.72,42,faixa_1
"10105",4316.71,14,sem_faixa
"10106",25326.87,80,faixa_2
"10108",2546.76,7,sem_faixa
"10110",5235.37,19,sem_faixa
"10113",2680.69,9,sem_faixa
"10114",4877.99,5,sem_faixa
"10121",2104.22,7,sem_faixa
"10125",861.13,8,sem_faixa
"10130",5207.16,36,sem_faixa
"10133",540.08,4,sem_faixa
"10134",21222.65,90,faixa_1
"10138",2066.21,5,sem_faixa
"10139",1481766.98,8610,faixa_1
"1014",3114.25,21,sem_faixa
"10140",1361.75,7,sem_faixa
"10147",8377.00,29,sem_faixa
"10156",7083.72,12,sem_faixa
"10157",237.90,2,sem_faixa
"10158",177581.95,1234,faixa_3
"10161",29556.07,96,faixa_2
"10167",181623.74,1348,faixa_3
"10171",10594.43,61,faixa_1
"10173",91701.45,260,faixa_2
"10174",14796.58,74,faixa_1
"10180",2732.97,22,sem_faixa
"10181",6029.30,21,sem_faixa
"10184",25824.19,95,faixa_2
"10185",779.68,4,sem_faixa
"10188",138.51,1,sem_faixa
"10200",800.72,6,sem_faixa
"10211",4410.97,14,sem_faixa
"10212",338.10,3,sem_faixa
"10219",454188.61,3022,faixa_3
"10233",9053.27,55,sem_faixa
"10235",3999.89,18,sem_faixa
"10236",3350.47,9,sem_faixa
"10249",606.82,2,sem_faixa
"10253",456292.82,2150,faixa_3
"1026",957.91,4,sem_faixa
"10263",14115.84,84,faixa_1
"10264",3933.42,22,sem_faixa
"10272",3652.45,12,sem_faixa
"10277",652.60,4,sem_faixa
"10280",10241.14,53,faixa_1
"10281",6270.61,5,sem_faixa
"10282",3118.68,15,sem_faixa
"10293",5555.37,4,sem_faixa
"10296",3621.52,6,sem_faixa
"10299",1594.11,16,sem_faixa
"10301",8147.08,31,sem_faixa
"10306",128.41,1,sem_faixa
"10309",4689.64,34,sem_faixa
"10313",9485.04,50,sem_faixa
"10315",293.80,1,sem_faixa
"10317",1227.28,8,sem_faixa
"10321",279634.32,1479,faixa_3
"10330",570.24,4,sem_faixa
"10332",50229.85,289,faixa_2
"10334",110.07,1,sem_faixa
"10336",4510.56,31,sem_faixa
"10339",6019.74,37,sem_faixa
"10341",1072.87,9,sem_faixa
"10353",198427.69,1094,faixa_3
"10354",427.66,2,sem_faixa
"10358",5403.10,20,sem_faixa
"1037",8916.03,17,sem_faixa
"10371",4824.09,38,sem_faixa
"10375",201842.39,916,faixa_3
"10380",17639.93,56,faixa_1
"1039",194.37,2,sem_faixa
"10390",707.63,2,sem_faixa
"10395",1179.25,8,sem_faixa
"10396",1254.25,7,sem_faixa
"10398",11455.62,45,faixa_1
"10403",333.87,2,sem_faixa
"10406",21108.58,36,faixa_1
"10407",3671.21,18,sem_faixa
"10408",46448.98,196,faixa_2
"10421",684.16,3,sem_faixa
"10426",24572.52,54,faixa_2
"10429",8828.51,33,sem_faixa
"10430",2077.53,11,sem_faixa
"10431",7283.43,45,sem_faixa
"10439",1293.01,7,sem_faixa
"10442",108432.69,425,faixa_2
"10445",23979.58,52,faixa_2
"10448",19739.27,62,faixa_1
"10462",3873.99,8,sem_faixa
"10468",1207.94,8,sem_faixa
"10484",8090.17,31,sem_faixa
"10488",9304.72,6,sem_faixa
"10492",468.51,4,sem_faixa
"10494",7552.37,24,sem_faixa
"10497",112.08,1,sem_faixa
"10517",13976.30,39,faixa_1
"10521",909562.06,5224,faixa_1
"1053",34614.56,221,faixa_2
"10530",9567.65,26,sem_faixa
"10539",445.60,4,sem_faixa
"10548",15813.11,79,faixa_1
"10551",529.23,4,sem_faixa
"10553",362.45,2,sem_faixa
"10558",11981.84,33,faixa_1
"10564",11785.58,7,faixa_1
"10566",80.25,1,sem_faixa
"1057",14356.99,73,faixa_1
"10584",118.12,1,sem_faixa
"10591",24071.73,118,faixa_2
"10593",289.91,1,sem_faixa
"10606",10382.52,46,faixa_1
"10608",28504.02,137,faixa_2
"10614",39343.47,197,faixa_2
"10622",21545.79,110,faixa_1
"10636",27505.06,80,faixa_2
"10637",115327.15,497,faixa_2
"10648",97762.57,543,faixa_2
"10649",131.84,1,sem_faixa
"10656",478.71,2,sem_faixa
"10657",3040.13,15,sem_faixa
"10659",834.84,5,sem_faixa
"10662",9657.21,58,sem_faixa
"10672",2838.33,13,sem_faixa
"10673",22854.15,5,faixa_1
"10676",73443.66,356,faixa_2
"10678",1157.08,3,sem_faixa
"10679",10400.60,47,faixa_1
"10690",1758.17,10,sem_faixa
"10693",23345.01,87,faixa_2
"10694",56.07,2,sem_faixa
"10696",3673.08,24,sem_faixa
"10698",12353.85,35,faixa_1
"10699",5594.89,44,sem_faixa
"10709",427.11,4,sem_faixa
"10713",588.05,1,sem_faixa
"10714a",8772.11,39,sem_faixa
"10720",19300.06,113,faixa_1
"10723",9629.99,31,sem_faixa
"10724",10975.86,37,faixa_1
"10725",117.80,1,sem_faixa
"10726",5500.35,12,sem_faixa
"10730",1403.10,3,sem_faixa
"10735",176.73,1,sem_faixa
"10739",491.63,1,sem_faixa
"10741",1475.85,12,sem_faixa
"10745",7995.92,49,sem_faixa
"10748",220.35,2,sem_faixa
"10751",7071.41,17,sem_faixa
"10755",32453.93,79,faixa_2
"10756",10388.54,40,faixa_1
"10758",5813.39,40,sem_faixa
"10761",811.32,4,sem_faixa
"10765",64221.75,346,faixa_2
"10766",5518.33,27,sem_faixa
"10770",4578.26,16,sem_faixa
"10776",6388.08,16,sem_faixa
"10783",1467.91,8,sem_faixa
"10784",2253.08,10,sem_faixa
"10786",1310.94,7,sem_faixa
"10791",14076.48,56,faixa_1
"10795",67461.58,411,faixa_2
"10803",19315.36,82,faixa_1
"10807",27604.68,98,faixa_2
"10809",5604.66,11,sem_faixa
"10812",2397.51,8,sem_faixa
"10813",3156.43,1,sem_faixa
"10816",1488.64,9,sem_faixa
"10821",31112.87,22,faixa_2
"10824",15226.54,97,faixa_1
"10834",12615.84,132,faixa_1
"10836",6923.92,7,sem_faixa
"10839",511.79,3,sem_faixa
"10843",13943.50,44,faixa_1
"10846",1952.10,3,sem_faixa
"10848",123.58,1,sem_faixa
"10850",4740.87,29,sem_faixa
"10854",1721.21,11,sem_faixa
"10855",4992.55,36,sem_faixa
"10857",9900.89,76,sem_faixa
"10860",16630.01,100,faixa_1
"10863",3053.54,5,sem_faixa
"10866",2851.34,11,sem_faixa
"10867",7005.49,44,sem_faixa
"10869",335.49,2,sem_faixa
"10872",1386.22,9,sem_faixa
"10873",279.27,2,sem_faixa
"10893",792.08,4,sem_faixa
"10903",9922.68,51,sem_faixa
"10906",779.38,2,sem_faixa
"10910",115.50,1,sem_faixa
"10917",8647.53,31,sem_faixa
"10919",10003.46,18,faixa_1
"10922",22545.71,230,faixa_1
"10926",2996.20,6,sem_faixa
"10929",47446.40,73,faixa_2
"10939",4665.96,33,sem_faixa
"10942",59310.74,27,faixa_2
"10944",2220.44,14,sem_faixa
"10945",91121.29,351,faixa_2
"10946",2349.34,16,sem_faixa
"10947",6684.76,5,sem_faixa
"10948",904.20,3,sem_faixa
"10953",5984.82,34,sem_faixa
"10954",4048.82,8,sem_faixa
"10958",6590.14,55,sem_faixa
"10959",28865.65,130,faixa_2
"10966",449.73,2,sem_faixa
"10967",55.14,1,sem_faixa
"10968",1434.77,8,sem_faixa
"10970",975.96,4,sem_faixa
"10973",2023.16,18,sem_faixa
"10979",17979.16,20,faixa_1
"10985",83421.75,472,faixa_2
"10986",19293.06,35,faixa_1
"10989",100.07,1,sem_faixa
"10991",2731.29,16,sem_faixa
"10999",2223.87,16,sem_faixa
"11006",11520.89,86,faixa_1
"11008",231.63,1,sem_faixa
"11010",11115.51,64,faixa_1
"11013",26243.82,145,faixa_2
"11014",2855.38,13,sem_faixa
"11016",12471.72,60,faixa_1
"11018",2431.84,15,sem_faixa
"11019",5987.55,11,sem_faixa
"11020",989.46,8,sem_faixa
"11022",13441.97,68,faixa_1
"11023",1233.59,2,sem_faixa
"11024",157.55,1,sem_faixa
"11025",255.09,2,sem_faixa
"11026",3493.63,18,sem_faixa
"11030",1147.51,9,sem_faixa
"11035",3804.95,12,sem_faixa
"11048",5365.64,32,sem_faixa
"11052",1303.71,2,sem_faixa
"11058",6912.43,27,sem_faixa
"11059",352560.46,2243,faixa_3
"11061",154.63,1,sem_faixa
"11071",8296.47,37,sem_faixa
"11072",1483.20,4,sem_faixa
"11073",30707.37,59,faixa_2
"11080",1037.91,7,sem_faixa
"11091",100132.08,568,faixa_2
"11093",15304.01,30,faixa_1
"11094",4863.51,26,sem_faixa
"11095",17105.60,100,faixa_1
"11101",1169.10,7,sem_faixa
"11104",5773.09,38,sem_faixa
"11106",357.54,1,sem_faixa
"11109",858.02,6,sem_faixa
"11125",735.16,4,sem_faixa
"11127",60297.03,282,faixa_2
"11131",1349.59,1,sem_faixa
"11136",378.99,3,sem_faixa
"11144",503.60,2,sem_faixa
"11146",2433.94,17,sem_faixa
"11147",17905.80,99,faixa_1
"11155",6780.36,31,sem_faixa
"11158",1086.30,7,sem_faixa
"11159",8870.13,53,sem_faixa
"11162",183.84,1,sem_faixa
"11173",4871.47,16,sem_faixa
"11176",12708.04,61,faixa_1
"11179",2835.61,16,sem_faixa
"11182",26897.40,142,faixa_2
"11183",15205.38,47,faixa_1
"11184",452.80,3,sem_faixa
"11187",489.92,4,sem_faixa
"11188",111.86,1,sem_faixa
"11191",5220.56,22,sem_faixa
"11192",13903.57,89,faixa_1
"11193",3157.44,11,sem_faixa
"11194",301.43,2,sem_faixa
"11197",4256.13,25,sem_faixa
"11198",547.27,3,sem_faixa
"11200",676.47,6,sem_faixa
"11202",6259.60,16,sem_faixa
"11203",6187.11,9,sem_faixa
"11211",1031.87,6,sem_faixa
"11217",73197.13,418,faixa_2
"11218",8336.14,24,sem_faixa
"11230",17993.21,84,faixa_1
"11233",671.88,4,sem_faixa
"11238",2615.47,5,sem_faixa
"11240",358.02,2,sem_faixa
"11243",1880.72,6,sem_faixa
"11249",5937.45,16,sem_faixa
"11251",38.60,1,sem_faixa
"11255",42336.99,204,faixa_2
"11257",2625.38,23,sem_faixa
"11259",7140.00,25,sem_faixa
"11260",264.87,1,sem_faixa
"11272",572.79,4,sem_faixa
"11273",8859.26,30,sem_faixa
"11275",10036.85,64,faixa_1
"11276",2366.38,12,sem_faixa
"11277",2303.58,12,sem_faixa
"11278",10600.83,62,faixa_1
"11282",16212.96,97,faixa_1
"11285",9906.01,31,sem_faixa
"11288",912.57,7,sem_faixa
"11290",15445.31,73,faixa_1
"11292",14866.43,68,faixa_1
"11294",1395.12,5,sem_faixa
"11295",142.24,1,sem_faixa
"11297",528.62,3,sem_faixa
"11298",34400.86,202,faixa_2
"11299",58871.84,191,faixa_2
"11300",2003.37,2,sem_faixa
"11301",3822.59,14,sem_faixa
"11302",23133.43,93,faixa_2
"11305",1292.36,6,sem_faixa
"11306",8088.81,24,sem_faixa
"11309",19454.50,27,faixa_1
"11311",3843.01,8,sem_faixa
"11312",23930.09,136,faixa_2
"11315",733.29,5,sem_faixa
"11322",20432.84,24,faixa_1
"11325",59000.71,237,faixa_2
"11329",153.08,1,sem_faixa
"11330",9846.08,26,sem_faixa
"11335",10640.68,73,faixa_1
"11337",2280.18,11,sem_faixa
"11341",141334.47,808,faixa_3
"11343",113.71,1,sem_faixa
"11346",11373.23,38,faixa_1
"11347",1543.60,2,sem_faixa
"11349",4031.41,20,sem_faixa
"11353",126.65,2,sem_faixa
"11354",937.51,2,sem_faixa
"11357",204510.18,1089,faixa_3
"11360",15216.42,60,faixa_1
"11365",401.05,2,sem_faixa
"11366",385.50,2,sem_faixa
"11368",425.56,4,sem_faixa
"11369",148315.58,674,faixa_3
"11374",551.57,3,sem_faixa
"11376",16990.38,21,faixa_1
"11377",1801.64,6,sem_faixa
"11381",47118.54,198,faixa_2
"11384",25905.29,91,faixa_2
"11386",7565.70,12,sem_faixa
"11388",1452.34,7,sem_faixa
"11390",3763.41,15,sem_faixa
"11391",3164.70,8,sem_faixa
"11392",117789.37,740,faixa_2
"11395",26.82,1,sem_faixa
"11396",321.77,2,sem_faixa
"11404",834.84,4,sem_faixa
"11407",73152.26,206,faixa_2
"11408",33254.61,168,faixa_2
"11410",15771.07,25,faixa_1
"11411",1727.11,10,sem_faixa
"11412",15881.93,85,faixa_1
"11414",1937.76,13,sem_faixa
"11415",570.78,4,sem_faixa
"11416",4658.37,21,sem_faixa
"11418",2327.32,3,sem_faixa
"11422",12007.53,20,faixa_1
"11425",36615.13,65,faixa_2
"11425.01",6234.40,32,sem_faixa
"11426",476.55,2,sem_faixa
"11428",12242.64,27,faixa_1
"11430",28913.71,203,faixa_2
"11432",6574.12,23,sem_faixa
"11433",82712.72,457,faixa_2
"11434",478.65,5,sem_faixa
"11439",247.69,2,sem_faixa
"11449",4647.19,16,sem_faixa
"11452",651.93,3,sem_faixa
"11457",8981.34,49,sem_faixa
"11458",4167.61,2,sem_faixa
"11459",801.08,3,sem_faixa
"11462",4833.88,28,sem_faixa
"11485",2606.19,16,sem_faixa
"11488",1735.55,9,sem_faixa
"11506",5707.93,33,sem_faixa
"11507",539.00,1,sem_faixa
"11510",438.82,2,sem_faixa
"11514",2433.66,12,sem_faixa
"11518",35609.69,200,faixa_2
"11524",3907.26,25,sem_faixa
"11533",6875.75,48,sem_faixa
"11536",100.52,1,sem_faixa
"11542",4544.68,6,sem_faixa
"11555",5025.93,19,sem_faixa
"11564",2415.34,10,sem_faixa
"11566",8153.54,91,sem_faixa
"11567",14753.42,49,faixa_1
"11572",1541.29,6,sem_faixa
"11581",49680.87,257,faixa_2
"11586",324.17,1,sem_faixa
"11613",2237.91,10,sem_faixa
"11621",920.63,4,sem_faixa
"11623",18089.45,42,faixa_1
"11627",1803.57,6,sem_faixa
"11631",9846.43,37,sem_faixa
"11632",2925.48,20,sem_faixa
"11634",2420.84,8,sem_faixa
"11641",125.49,1,sem_faixa
"11643",366.92,3,sem_faixa
"11645",724.38,1,sem_faixa
"11651",11891.40,41,faixa_1
"11655",8021.45,55,sem_faixa
"11675",1561.20,7,sem_faixa
"11679",13367.19,47,faixa_1
